club,clubLabel,venue,venueLabel,coordinates,Longitude,Latitude,Transfermarkt_team_ID,headquarters_location,headquarters_locationLabel
http://www.wikidata.org/entity/Q18528,Woking F.C.,http://www.wikidata.org/entity/Q6412727,Kingfield Stadium,Point(-0.558811 51.306333),-0.558811,51.306333,,http://www.wikidata.org/entity/Q646225,Woking
http://www.wikidata.org/entity/Q18529,Wrexham A.F.C.,http://www.wikidata.org/entity/Q1202579,Racecourse Ground,Point(-3.003611 53.051944),-3.003611,53.051944,1112,http://www.wikidata.org/entity/Q496368,Wrexham
http://www.wikidata.org/entity/Q18656,Manchester United F.C.,http://www.wikidata.org/entity/Q83457,Old Trafford,Point(-2.291388888 53.463055555),-2.291388888,53.46305556,985,http://www.wikidata.org/entity/Q18125,Manchester
http://www.wikidata.org/entity/Q18659,Swansea City A.F.C.,http://www.wikidata.org/entity/Q580480,Liberty Stadium,Point(-3.9351 51.6422),-3.9351,51.6422,2288,http://www.wikidata.org/entity/Q23051,Swansea
http://www.wikidata.org/entity/Q18660,Altrincham F.C.,http://www.wikidata.org/entity/Q2440403,Moss Lane,Point(-2.335158 53.383436),-2.335158,53.383436,,http://www.wikidata.org/entity/Q445058,Altrincham
http://www.wikidata.org/entity/Q18661,Middlesbrough F.C.,http://www.wikidata.org/entity/Q822886,Riverside Stadium,Point(-1.216944444 54.578333333),-1.216944444,54.57833333,641,http://www.wikidata.org/entity/Q171866,Middlesbrough
http://www.wikidata.org/entity/Q18662,Cardiff City F.C.,http://www.wikidata.org/entity/Q867902,Cardiff City Stadium,Point(-3.203056 51.472778),-3.203056,51.472778,603,http://www.wikidata.org/entity/Q10690,Cardiff
http://www.wikidata.org/entity/Q18665,Albion Sports A.F.C.,http://www.wikidata.org/entity/Q618950,Horsfall Stadium,Point(-1.776203 53.758856),-1.776203,53.758856,,,
http://www.wikidata.org/entity/Q18687,Lewisham Borough F.C.,http://www.wikidata.org/entity/Q15241238,Ladywell Arena,Point(-0.02166667 51.45111111),-0.02166667,51.45111111,,,
http://www.wikidata.org/entity/Q18708,Fulham F.C.,http://www.wikidata.org/entity/Q318043,Craven Cottage,Point(-0.221666666 51.475),-0.221666666,51.475,931,http://www.wikidata.org/entity/Q84,London
http://www.wikidata.org/entity/Q18711,Aston Villa F.C.,http://www.wikidata.org/entity/Q175339,Villa Park,Point(-1.884722222 52.509166666),-1.884722222,52.50916667,405,http://www.wikidata.org/entity/Q649838,Aston
http://www.wikidata.org/entity/Q18716,Newcastle United F.C.,http://www.wikidata.org/entity/Q191774,St’ James park,Point(-1.621666666 54.975555555),-1.621666666,54.97555556,762,http://www.wikidata.org/entity/Q1425428,Newcastle upon Tyne
http://www.wikidata.org/entity/Q18721,Norwich City F.C.,http://www.wikidata.org/entity/Q123017,Carrow Road,Point(1.308653 52.622128),1.308653,52.622128,1123,http://www.wikidata.org/entity/Q130191,Norwich
http://www.wikidata.org/entity/Q18723,Queens Park Rangers F.C.,http://www.wikidata.org/entity/Q31670,Kiyan Prince Foundation Stadium,Point(-0.232222222 51.509166666),-0.232222222,51.50916667,1039,http://www.wikidata.org/entity/Q84,London
http://www.wikidata.org/entity/Q18729,Reading F.C.,http://www.wikidata.org/entity/Q31656,Madejski Stadium,Point(-0.982777777 51.422222222),-0.982777777,51.42222222,1032,http://www.wikidata.org/entity/Q161491,Reading
http://www.wikidata.org/entity/Q18732,Southampton F.C.,http://www.wikidata.org/entity/Q567339,St Mary's Stadium,Point(-1.39111111 50.90583333),-1.39111111,50.90583333,180,http://www.wikidata.org/entity/Q79848,Southampton
http://www.wikidata.org/entity/Q18736,Stoke City F.C.,http://www.wikidata.org/entity/Q500922,Britannia Stadium,Point(-2.175555555 52.988333333),-2.175555555,52.98833333,512,http://www.wikidata.org/entity/Q134902,Stoke-on-Trent
http://www.wikidata.org/entity/Q18739,Sunderland A.F.C.,http://www.wikidata.org/entity/Q31969,Stadium of Light,Point(-1.3882 54.9144),-1.3882,54.9144,289,http://www.wikidata.org/entity/Q188304,Sunderland
http://www.wikidata.org/entity/Q18741,Tottenham Hotspur F.C.,http://www.wikidata.org/entity/Q55074091,Tottenham Hotspur Stadium,Point(-0.066388888 51.604444444),-0.066388888,51.60444444,148,http://www.wikidata.org/entity/Q213560,London Borough of Haringey
http://www.wikidata.org/entity/Q18744,West Bromwich Albion F.C.,http://www.wikidata.org/entity/Q31678,The Hawthorns,Point(-1.963888888 52.509166666),-1.963888888,52.50916667,984,http://www.wikidata.org/entity/Q212826,West Bromwich
http://www.wikidata.org/entity/Q18747,West Ham United F.C.,http://www.wikidata.org/entity/Q172190,London Stadium,Point(-0.016388888 51.538611111),-0.016388888,51.53861111,379,http://www.wikidata.org/entity/Q208139,London Borough of Newham
http://www.wikidata.org/entity/Q18750,Wigan Athletic F.C.,http://www.wikidata.org/entity/Q494388,DW Stadium,Point(-2.653889 53.547778),-2.653889,53.547778,1071,http://www.wikidata.org/entity/Q208143,Wigan
